area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,industry_name,treatment_group,source_file,quarter_date,year_quarter,treatment_period,post_tariff,avg_monthly_employment,log_employment,log_wages,log_avg_weekly_wage,treated,treated_post
29000,5,3311,56,0,2020,4,,16,323,324,324,6794842,239713,3803,1615,,0.85,0.21,0.21,0.21,0.22,0.51,0.52,1.03,,-2,-11.1,-3,-0.9,-2,-0.6,-2,-0.6,-29990,-0.4,-31590,-11.6,-1012,-21.0,5,0.3,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,323.6666666666667,5.779714179623215,15.731674352905575,7.387090235656757,1,1
34000,5,3311,56,0,2020,4,,24,537,545,533,15543394,1330386,37752,2221,,0.97,0.25,0.25,0.25,0.26,0.64,0.82,1.05,,-2,-7.7,-78,-12.7,-89,-14.0,-69,-11.5,-1169354,-7.0,-1505154,-53.1,-63465,-62.7,137,6.6,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,538.3333333333334,6.288477946988647,16.559146283175473,7.7057128238944275,1,1
34999,5,3311,76,0,2020,4,,7,8,8,8,191540,73322,2005,1842,,2.38,0.1,0.1,0.1,0.06,0.62,0.56,0.58,,-1,-12.5,-1,-11.1,0,0.0,1,14.3,32712,20.6,65474,834.3,1755,702.0,315,20.6,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,8.0,2.0794415416798357,12.16285194307561,7.518607216815252,1,1
35000,5,3311,56,0,2020,4,,3,41,41,41,594722,70805,800,1116,,0.54,0.09,0.09,0.1,0.07,0.23,0.27,0.76,,-1,-25.0,-3,-6.8,-2,-4.7,-2,-4.7,-410402,-40.8,-24548,-25.7,-149,-15.7,-668,-37.4,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,41.0,3.713572066704308,13.295849348452515,7.017506142941256,1,1
36000,5,3311,56,0,2020,4,,22,613,608,631,9847792,284603,9855,1227,,0.39,0.13,0.13,0.13,0.07,0.21,0.24,0.51,,-1,-4.3,-196,-24.2,-210,-25.7,-173,-21.5,-3035363,-23.6,-409885,-59.0,-15644,-61.4,4,0.3,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,617.3333333333334,6.425409126538015,16.10275782558357,7.112327444710911,1,1
36029,5,3311,76,0,2020,4,,5,70,43,68,1142228,24516,867,1456,,2.37,0.29,0.18,0.28,0.22,0.38,0.48,0.88,,0,0.0,-37,-34.6,-64,-59.8,-34,-33.3,-449546,-28.2,-6334,-20.5,-756,-46.6,294,25.3,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,60.333333333333336,4.099884742597716,13.948491299008039,7.283448228756631,1,1
37000,5,3311,56,0,2020,4,,19,1165,1166,1183,25668556,979950,5938,1686,,0.74,0.47,0.47,0.48,0.5,0.58,0.45,1.05,,3,18.8,-16,-1.4,-10,-0.9,8,0.7,798504,3.2,198819,25.5,1308,28.3,61,3.8,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1171.3333333333333,7.065897980078932,17.060777298830345,7.430114138561801,1,1
39000,5,3311,56,0,2020,4,,61,8927,8930,8976,207349770,2064891,63556,1783,,2.33,3.08,3.08,3.08,3.39,2.85,3.44,1.1,,0,0.0,920,11.5,924,11.5,943,11.7,45820498,28.4,-520456,-20.1,-22063,-25.8,233,15.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,8944.333333333334,9.098775463633029,19.149917635420458,7.48605261786314,1,1
39167,5,3311,76,0,2020,4,,4,382,381,382,7346788,75488,5057,1481,,29.36,28.47,28.59,28.72,28.11,25.43,48.98,0.98,,0,0.0,-19,-4.7,-39,-9.3,-28,-6.8,81029,1.1,-141539,-65.2,-9883,-66.2,119,8.7,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,381.6666666666667,5.9445476273202305,15.809773768870997,7.300472814267799,1,1
40000,5,3311,56,0,2020,4,,12,574,573,575,9609480,456372,3025,1288,,1.24,0.66,0.66,0.65,0.6,1.07,0.75,0.92,,-3,-20.0,-165,-22.3,-156,-21.4,-157,-21.4,-289664,-2.9,-278218,-37.9,-10966,-78.4,250,24.1,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,574.0,6.352629396319567,16.07826066918069,7.160845906664299,1,1
40143,5,3311,76,0,2020,4,,4,120,120,120,1699061,77896,1005,1089,,2.03,0.62,0.62,0.61,0.44,0.83,1.09,0.72,,-2,-33.3,-90,-42.9,-87,-42.0,-88,-42.3,-660800,-28.0,-219762,-73.8,-4294,-81.0,218,25.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,120.0,4.787491742782046,14.345586303482186,6.9930151229329605,1,1
41000,5,3311,56,0,2020,4,,4,741,744,744,26026063,1655341,38351,2694,,0.28,0.72,0.72,0.73,1.11,1.3,1.47,1.54,,-1,-20.0,-385,-34.2,-387,-34.2,-393,-34.6,-6167425,-19.2,-3476702,-67.7,-119831,-75.8,505,23.1,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,743.0,6.610696044717759,17.074609016972175,7.898782356970309,1,1
42000,5,3311,56,0,2020,4,,59,9658,9593,9826,210560483,1243155,71553,1671,,1.91,3.11,3.09,3.15,2.9,1.59,2.08,0.93,,-2,-3.3,-1755,-15.4,-1943,-16.8,-1702,-14.8,-33986310,-13.9,-2216099,-64.1,-161145,-69.3,34,2.1,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,9692.333333333334,9.179090473971225,19.165283499981573,7.421177528595393,1,1
42003,5,3311,76,0,2020,4,,9,2252,2284,2308,44155963,372988,19469,1489,,2.9,6.22,6.31,6.36,4.83,4.68,5.47,0.77,,-1,-10.0,-301,-11.8,-284,-11.1,-247,-9.7,-6518084,-12.9,-544213,-59.3,-57679,-74.8,-34,-2.2,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,2281.3333333333335,7.732515346343974,17.60323853818181,7.305860032684009,1,1
42085,5,3311,76,0,2020,4,,3,299,280,299,8182055,53502,1834,2151,,12.11,12.67,11.93,12.74,20.17,10.18,8.07,1.62,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,292.6666666666667,5.679034304967007,15.91745389952173,7.67368812926773,1,1
42121,5,3311,76,0,2020,4,,4,348,306,334,4839979,142064,10450,1130,,38.25,37.34,33.09,36.1,32.54,79.13,138.41,0.92,,0,0.0,-31,-8.2,-73,-19.3,-61,-15.4,-669208,-12.1,8987,6.8,-482,-4.4,27,2.4,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,329.3333333333333,5.797070409079758,15.392420939840427,7.029972911706386,1,1
42125,5,3311,76,0,2020,4,,3,290,292,300,5439948,28010,1055,1423,,6.36,6.45,6.5,6.71,5.48,2.59,1.97,0.84,N,-1,-25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,294.0,5.683579767338681,15.50928005996291,7.260522598089852,1,1
42129,5,3311,76,0,2020,4,,7,852,850,852,14947091,101963,8277,1351,,8.99,12.17,12.12,12.18,11.46,5.54,9.92,0.94,,0,0.0,-140,-14.1,-158,-15.7,-158,-15.6,-5019412,-25.1,-285915,-73.7,-20720,-71.5,-180,-11.8,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,851.3333333333334,6.746803747924375,16.520027256927648,7.208600337960199,1,1
45000,5,3311,56,0,2020,4,,31,2300,2381,2385,70624690,1187306,13042,2307,,2.44,2.0,2.07,2.05,3.26,2.54,2.64,1.6,,-1,-3.1,-194,-7.8,-98,-4.0,-78,-3.2,4074366,6.1,109627,10.2,-223,-1.7,242,11.7,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,2355.3333333333335,7.764437539250981,18.072890358040716,7.7437032581737535,1,1
45999,5,3311,76,0,2020,4,,8,6,6,6,449874,0,0,5768,,4.7,0.16,0.16,0.15,0.39,0.0,0.0,2.48,,-1,-11.1,-2,-25.0,-2,-25.0,-2,-25.0,38369,9.3,-8090,-100.0,-66,-100.0,1811,45.8,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,6.0,1.791759469228055,13.016722822539183,8.660080678964786,1,1
47000,5,3311,56,0,2020,4,,32,1447,1461,1483,28381747,852646,11750,1492,,2.14,0.88,0.88,0.88,0.8,2.1,2.08,0.91,,2,6.7,-61,-4.0,-42,-2.8,-18,-1.2,4018555,16.5,88819,11.6,-2971,-20.2,246,19.7,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1463.6666666666667,7.288699981893608,17.161256785236404,7.307872780763706,1,1
48000,5,3311,56,0,2020,4,,112,4816,4911,4985,108055978,4225274,74904,1695,,1.76,0.71,0.72,0.72,0.68,2.25,2.0,0.94,,-3,-2.6,-120,-2.4,-49,-1.0,103,2.1,8044393,8.0,541879,14.7,-11142,-12.9,133,8.5,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,4904.0,8.497806477616047,18.49815996562458,7.43543801981455,1,1
48113,5,3311,76,0,2020,4,,6,142,142,146,3158142,155771,3123,1695,,0.86,0.15,0.15,0.15,0.12,0.53,0.51,0.78,,1,20.0,108,317.6,106,294.4,110,305.6,2374441,303.0,141550,995.4,2698,634.8,-11,-0.6,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,143.33333333333334,4.965172920019499,14.96549443795465,7.43543801981455,1,1
48141,5,3311,76,0,2020,4,,5,534,475,540,8072533,222453,2235,1203,,3.67,3.18,2.84,3.18,2.95,5.11,2.92,0.96,,1,25.0,133,33.2,72,17.9,138,34.3,2568201,46.7,-35098,-13.6,-3381,-60.2,150,14.2,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,516.3333333333334,6.246752551748759,15.903977869559139,7.0925737159746784,1,1
48201,5,3311,76,0,2020,4,,32,1035,1042,1034,16050765,969200,15077,1191,,3.08,0.84,0.84,0.83,0.48,3.07,2.08,0.57,,-2,-5.9,-112,-9.8,-59,-5.4,-58,-5.3,-464355,-2.8,125630,14.9,2205,17.1,50,4.4,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1037.0,6.9440872082295275,16.59126706995583,7.0825485693553,1,1
48439,5,3311,76,0,2020,4,,4,45,50,55,643837,18162,201,991,,0.99,0.09,0.1,0.11,0.06,0.13,0.08,0.56,N,-2,-33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,50.0,3.912023005428146,13.375200867459803,6.898714534329988,1,1
49000,5,3311,56,0,2020,4,,13,546,546,549,16671946,783145,5263,2345,,1.3,0.63,0.63,0.63,0.92,0.84,1.1,1.45,N,1,8.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Iron and Steel,treatment,Iron_steel_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,547.0,6.304448802421981,16.629237984566455,7.76004068088038,1,1
